Wavelength(nm),Intensities
521.0000024000001,408.0
522.0000024000001,439.0
523.0000024000001,435.4
524.0000024000001,426.4
525.0000024000001,422.0
526.0000024000001,413.2
527.0000024000001,413.8
528.0000024000001,418.0
529.0000024000001,419.0
530.0000024000001,426.6
531.0000024000001,429.4
532.0000024000001,416.0
533.0000024000001,424.8
534.0000024000001,411.2
535.0000024000001,412.8
536.0000024000001,439.0
537.0000024000001,417.8
538.0000024000001,440.0
539.0000024000001,423.6
540.0000024000001,441.8
541.0000024000001,426.0
542.0000024000001,433.4
543.0000024000001,447.0
544.0000024000001,440.6
545.0000024000001,435.4
546.0000024000001,453.6
547.0000024000001,452.0
548.0000024000001,437.6
549.0000024000001,439.6
550.0000024000001,440.2
551.0000024000001,433.0
552.0000024000001,435.4
553.0000024000001,433.0
554.0000024000001,441.2
555.0000024000001,441.6
556.0000024000001,440.4
557.0000024000001,434.6
558.0000024000001,443.8
559.0000024000001,435.2
560.0000024000001,441.2
561.0000024000001,436.0
562.0000024000001,435.4
563.0000024000001,442.2
564.0000024000001,441.8
565.0000024000001,435.0
566.0000024000001,444.6
567.0000024000001,445.0
568.0000024000001,436.6
569.0000024000001,452.0
570.0000024000001,432.0
571.0000024000001,430.2
572.0000024000001,436.4
573.0000024000001,428.2
574.0000024000001,436.4
575.0000024000001,437.6
576.0000024000001,427.2
577.0000024000001,447.6
578.0000024000001,443.2
579.0000024000001,439.8
580.0000024000001,444.0
581.0000024000001,430.4
582.0000024000001,438.4
583.0000024000001,433.0
584.0000024000001,446.8
585.0000024000001,431.8
586.0000024000001,466.0
587.0000024000001,441.2
588.0000024000001,439.2
589.0000024000001,453.6
590.0000024000001,438.4
591.0000024000001,435.8
592.0000024000001,458.6
593.0000024000001,444.8
594.0000024000001,446.4
595.0000024000001,446.2
596.0000024000001,445.6
597.0000024000001,459.4
598.0000024000001,476.0
599.0000024000001,442.0
600.0000024000001,443.4
601.0000024000001,444.4
602.0000024000001,450.2
603.0000024000001,438.2
604.0000024000001,444.8
605.0000024000001,436.0
606.0000024000001,447.2
607.0000024000001,435.4
608.0000024000001,452.4
609.0000024000001,448.2
610.0000024000001,440.8
611.0000024000001,433.8
612.0000024000001,444.2
613.0000024000001,451.8
614.0000024000001,421.0
615.0000024000001,449.4
616.0000024000001,438.4
617.0000024000001,437.0
618.0000024000001,443.2
619.0000024000001,445.0
620.0000024000001,434.8
621.0000024000001,444.4
622.0000024000001,453.0
623.0000024000001,439.6
624.0000024000001,435.8
625.0000024000001,434.6
626.0000024000001,436.2
627.0000024000001,453.2
628.0000024000001,435.0
629.0000024000001,427.0
630.0000024000001,444.8
631.0000024000001,421.8
632.0000024000001,431.0
633.0000024000001,428.6
634.0000024000001,435.4
635.0000024000001,437.4
636.0000024000001,431.2
637.0000024000001,455.8
638.0000024000001,434.0
639.0000024000001,436.6
640.0000024000001,448.0
641.0000024000001,432.4
642.0000024000001,437.2
643.0000024000001,432.4
644.0000024000001,427.8
645.0000024000001,433.8
646.0000024000001,419.2
647.0000024000001,442.0
648.0000024000001,431.8
649.0000024000001,434.2
650.0000024000001,415.4
651.0000024000001,429.8
652.0000024000001,418.6
653.0000024000001,419.2
654.0000024000001,432.6
655.0000024000001,452.8
656.0000024000001,439.8
657.0000024000001,420.2
658.0000024000001,441.0
659.0000024000001,432.2
660.0000024000001,482.6
661.0000024000001,425.0
662.0000024000001,427.0
663.0000024000001,439.4
664.0000024000001,422.2
665.0000024000001,422.8
666.0000024000001,421.0
667.0000024000001,423.4
668.0000024000001,440.8
669.0000024000001,435.2
670.0000024000001,438.8
671.0000024000001,425.0
672.0000024000001,432.6
673.0000024000001,421.6
674.0000024000001,439.8
675.0000024000001,420.6
676.0000024000001,426.0
677.0000024000001,431.6
678.0000024000001,427.8
