wavelength,intensity
476.8333371,532
476.9166705,534
477.0000038,536
477.0833371,536
477.1666705,538
477.2500038,540
477.3333372,538
477.4166705,540
477.5000038,542
477.5833372,540
477.6666705,542
477.7500038,544
477.8333372,544
477.9166705,546
478.0000038,544
478.0833372,548
478.1666705,548
478.2500038,548
478.3333372,548
478.4166705,550
478.5000038,550
478.5833372,552
478.6666705,550
478.7500038,556
478.8333372,554
478.9166705,558
479.0000038,556
479.0833372,556
479.1666705,560
479.2500038,556
479.3333372,560
479.4166705,560
479.5000038,560
479.5833372,562
479.6666705,560
479.7500038,560
479.8333372,564
479.9166705,566
480.0000038,568
480.0833372,566
480.1666705,568
480.2500038,568
480.3333372,568
480.4166705,570
480.5000038,572
480.5833372,570
480.6666705,572
480.7500038,572
480.8333372,576
480.9166705,572
481.0000038,576
481.0833372,576
481.1666705,576
481.2500038,576
481.3333372,578
481.4166705,580
481.5000039,580
481.5833372,580
481.6666705,582
481.7500039,584
481.8333372,584
481.9166705,584
482.0000039,588
482.0833372,588
482.1666705,588
482.2500039,590
482.3333372,592
482.4166705,592
482.5000039,592
482.5833372,592
482.6666705,592
482.7500039,592
482.8333372,592
482.9166705,596
483.0000039,594
483.0833372,600
483.1666705,596
483.2500039,600
483.3333372,598
483.4166705,600
483.5000039,602
483.5833372,604
483.6666705,602
483.7500039,600
483.8333372,604
483.9166705,604
484.0000039,608
484.0833372,604
484.1666705,606
484.2500039,604
484.3333372,610
484.4166705,610
484.5000039,612
484.5833372,612
484.6666705,610
484.7500039,612
484.8333372,614
484.9166705,614
485.0000039,616
485.0833372,616
485.1666705,618
485.2500039,620
485.3333372,618
485.4166705,616
485.5000039,620
485.5833372,622
485.6666706,622
485.7500039,622
485.8333372,624
485.9166706,624
486.0000039,620
486.0833372,626
486.1666706,628
486.2500039,628
486.3333372,628
486.4166706,628
486.5000039,632
486.5833372,628
486.6666706,632
486.7500039,632
486.8333372,632
486.9166706,632
487.0000039,632
487.0833372,632
487.1666706,632
487.2500039,636
487.3333372,638
487.4166706,640
487.5000039,638
487.5833372,642
487.6666706,640
487.7500039,640
487.8333372,642
487.9166706,644
488.0000039,640
488.0833372,644
488.1666706,648
488.2500039,644
488.3333372,646
488.4166706,648
488.5000039,648
488.5833372,650
488.6666706,648
488.7500039,652
488.8333372,652
488.9166706,650
489.0000039,652
489.0833372,652
489.1666706,658
489.2500039,654
489.3333372,658
489.4166706,656
489.5000039,656
489.5833372,660
489.6666706,660
489.7500039,660
489.8333373,660
489.9166706,660
490.0000039,660
490.0833373,664
490.1666706,664
490.2500039,662
490.3333373,666
490.4166706,666
490.5000039,664
490.5833373,666
490.6666706,670
490.7500039,668
490.8333373,670
490.9166706,670
491.0000039,668
491.0833373,672
491.1666706,670
491.2500039,674
491.3333373,674
491.4166706,676
491.5000039,676
491.5833373,674
491.6666706,678
491.7500039,674
491.8333373,676
491.9166706,678
492.0000039,678
492.0833373,682
492.1666706,680
492.2500039,678
492.3333373,678
492.4166706,684
492.5000039,682
492.5833373,682
492.6666706,684
492.7500039,684
492.8333373,684
492.9166706,684
493.0000039,686
493.0833373,686
493.1666706,692
493.2500039,688
493.3333373,690
493.4166706,690
493.5000039,690
493.5833373,694
493.6666706,692
493.7500039,696
493.8333373,692
493.9166706,692
494.000004,692
494.0833373,696
494.1666706,698
494.250004,696
494.3333373,700
494.4166706,698
494.500004,700
494.5833373,700
494.6666706,700
494.750004,702
494.8333373,702
494.9166706,702
495.000004,702
495.0833373,706
495.1666706,706
495.250004,704
495.3333373,704
495.4166706,706
495.500004,710
495.5833373,710
495.6666706,708
495.750004,712
495.8333373,712
495.9166706,712
496.000004,714
496.0833373,714
496.1666706,718
496.250004,716
496.3333373,714
496.4166706,718
496.500004,718
496.5833373,716
496.6666706,720
496.750004,720
496.8333373,722
496.9166706,722
497.000004,724
497.0833373,722
497.1666706,722
497.250004,726
497.3333373,724
497.4166706,728
497.500004,724
497.5833373,722
497.6666706,730
497.750004,728
497.8333373,730
497.9166706,728
498.000004,732
